year,well_production,well_common,oil_year,water_year,fluid_year,water_cut,oil_day,fluid_day,oil_total,water_total,fluid_total,kin,production_frac_total,production_frac,production_frac_rem,gas_total,well_injection,inject_year,inject_total,inject_comp_year,inject_comp_total,inject_response
1966,2,0,6.522,0.086,6.608,1.3,14.4,14.6,6.522,0.086,6.608,0.000,0.1,0.1,0.1,1.0,0,0.000,0.000,0.0,0.0,0.0
1967,2,0,6.132,0.090,6.222,1.4,8.5,8.6,12.654,0.176,12.830,0.001,0.2,0.1,0.1,1.1,0,0.000,0.000,0.0,0.0,0.0
1968,1,0,0.498,0.064,0.562,11.4,1.3,1.5,13.152,0.240,13.392,0.001,0.2,0.0,0.0,8.7,1,4.317,4.317,657.7,26.9,17.6
1969,2,1,4.213,0.086,4.299,2.0,5.9,6.0,17.365,0.326,17.691,0.001,0.2,0.1,0.1,1.5,1,18.214,22.531,354.0,106.4,49.9
1970,2,1,4.283,0.019,4.302,0.4,5.9,5.9,21.648,0.345,21.993,0.001,0.3,0.1,0.1,0.3,1,29.207,51.738,564.9,196.3,85.2
1971,2,1,4.114,0.022,4.136,0.5,6.2,6.2,25.762,0.367,26.129,0.001,0.3,0.1,0.1,0.4,1,46.026,97.764,926.2,312.1,343.3
1972,2,1,4.067,0.048,4.115,1.2,5.6,5.6,29.829,0.415,30.244,0.001,0.4,0.1,0.1,0.9,1,88.015,185.779,1783.2,512.4,440.2
1973,1,1,2.126,0.000,2.126,0.0,4.4,4.4,31.955,0.415,32.370,0.001,0.4,0.0,0.0,0.0,1,145.275,331.054,5679.4,852.9,381.9
1974,6,1,12.210,4.423,16.633,26.6,11.7,15.9,44.165,4.838,49.003,0.002,0.6,0.2,0.2,21.1,3,347.453,678.507,1865.8,1181.3,804.5
1975,10,1,79.070,19.190,98.260,19.5,23.5,29.1,123.235,24.028,147.263,0.005,1.6,1.0,1.0,15.2,5,570.011,1248.518,508.1,736.0,581.5
1976,19,1,168.293,25.431,193.724,13.1,28.9,33.3,291.528,49.459,340.987,0.012,3.7,2.1,2.2,10.0,5,433.768,1682.286,192.7,426.2,379.5
1977,43,2,206.753,43.313,250.066,17.3,20.6,24.9,498.281,92.772,591.053,0.020,6.3,2.6,2.8,13.4,2,468.498,2150.784,163.1,315.4,424.3
1978,58,1,228.496,84.947,313.443,27.1,14.5,19.9,726.777,177.719,904.496,0.029,9.2,2.9,3.2,21.5,5,727.323,2878.107,207.6,278.8,514.1
1979,75,1,208.153,125.629,333.782,37.6,9.6,15.4,934.930,303.348,1238.278,0.038,11.8,2.6,3.0,30.8,6,638.757,3516.864,176.4,252.2,460.5
1980,91,2,207.988,119.257,327.245,36.4,7.5,11.8,1142.918,422.605,1565.523,0.046,14.4,2.6,3.1,29.8,7,495.683,4012.547,139.1,229.2,348.4
1981,94,2,181.790,130.847,312.637,41.9,5.6,9.6,1324.708,553.452,1878.160,0.053,16.7,2.3,2.7,34.7,7,539.048,4551.595,160.9,218.2,395.0
1982,99,2,170.229,138.542,308.771,44.9,5.0,9.1,1494.937,691.994,2186.931,0.060,18.8,2.1,2.6,37.5,12,725.937,5277.532,221.3,218.6,348.9
1983,96,2,209.754,177.452,387.206,45.8,6.1,11.3,1704.691,869.446,2574.137,0.069,21.5,2.6,3.4,38.5,14,943.579,6221.111,230.1,220.3,259.1
1984,97,2,264.159,230.974,495.133,46.6,7.9,14.7,1968.850,1100.420,3069.270,0.079,24.8,3.3,4.4,39.2,19,935.274,7156.385,178.8,213.8,183.4
1985,104,2,256.276,251.024,507.300,49.5,7.3,14.4,2225.126,1351.444,3576.570,0.089,28.0,3.2,4.5,42.0,23,955.138,8111.523,179.7,209.1,148.5
1986,103,2,258.526,297.913,556.439,53.5,7.1,15.2,2483.652,1649.357,4133.009,0.100,31.3,3.3,4.7,46.0,24,883.777,8995.300,153.5,201.9,109.4
1987,102,2,234.898,286.116,521.014,54.9,6.5,14.5,2718.550,1935.473,4654.023,0.109,34.3,3.0,4.5,47.4,25,792.322,9787.622,147.6,196.1,93.9
1988,101,2,180.413,308.803,489.216,63.1,5.1,13.8,2898.963,2244.276,5143.239,0.117,36.5,2.3,3.6,55.8,26,880.450,10668.072,179.1,194.6,97.0
1989,101,2,158.072,271.218,429.290,63.2,4.5,12.1,3057.035,2515.494,5572.529,0.123,38.5,2.0,3.2,55.9,22,944.292,11612.364,219.0,196.4,104.7
1990,102,2,166.117,293.729,459.846,63.9,4.7,13.0,3223.152,2809.223,6032.375,0.130,40.6,2.1,3.5,56.6,15,966.113,12578.477,209.6,197.3,158.5
1991,96,2,127.446,243.532,370.978,65.6,3.7,10.8,3350.598,3052.755,6403.353,0.135,42.2,1.6,2.8,58.5,20,730.642,13309.119,197.6,197.3,118.0
1992,95,3,120.692,190.444,311.136,61.2,3.7,9.4,3471.290,3243.199,6714.489,0.140,43.7,1.5,2.7,53.8,22,614.223,13923.342,195.3,197.2,84.3
1993,98,3,102.403,191.398,293.801,65.1,3.0,8.7,3573.693,3434.597,7008.290,0.144,45.0,1.3,2.3,58.0,20,665.140,14588.482,226.7,198.4,88.8
1994,98,3,72.144,179.042,251.186,71.3,2.4,8.5,3645.837,3613.639,7259.476,0.147,45.9,0.9,1.7,64.7,13,508.082,15096.564,206.6,198.7,88.9
1995,81,4,74.285,153.646,227.931,67.4,3.4,10.5,3720.122,3767.285,7487.407,0.150,46.9,0.9,1.8,60.4,7,447.253,15543.817,197.9,198.7,141.8
1996,86,4,70.237,120.210,190.447,63.1,3.4,9.4,3790.359,3887.495,7677.854,0.152,47.8,0.9,1.7,55.8,10,365.354,15909.171,190.9,198.5,152.9
1997,77,2,68.926,137.078,206.004,66.5,3.3,9.9,3859.284,4024.573,7883.857,0.155,48.6,0.9,1.7,59.5,8,529.546,16438.717,258.6,200.0,180.3
1998,73,2,73.906,167.093,240.999,69.3,3.8,12.2,3933.190,4191.666,8124.856,0.158,49.6,0.9,1.8,62.6,11,482.825,16921.542,203.3,200.1,224.0
1999,75,2,66.731,136.413,203.144,67.2,3.0,9.0,3999.921,4328.079,8328.000,0.161,50.4,0.8,1.7,60.2,16,341.550,17263.092,169.5,199.3,97.7
2000,84,2,68.571,144.777,213.348,67.9,2.6,7.9,4068.492,4472.856,8541.348,0.164,51.3,0.9,1.8,60.9,8,314.882,17577.974,149.1,198.2,158.9
2001,94,2,68.195,137.851,206.046,66.9,2.2,6.5,4136.687,4610.707,8747.394,0.166,52.1,0.9,1.8,59.9,10,290.768,17868.742,142.1,196.9,132.3
2002,90,2,66.201,123.351,189.552,65.1,2.1,6.0,4202.888,4734.058,8936.946,0.169,53.0,0.8,1.8,57.9,8,319.026,18187.768,168.5,196.3,143.1
2003,84,1,66.001,111.688,177.689,62.9,2.2,6.0,4268.889,4845.746,9114.635,0.172,53.8,0.8,1.8,55.6,9,365.000,18552.768,204.3,196.5,123.0
2004,81,1,69.041,97.322,166.363,58.5,2.7,6.4,4337.930,4943.068,9280.998,0.174,54.7,0.9,1.9,51.0,12,363.301,18916.069,214.2,196.8,97.2
2005,76,1,71.848,80.698,152.546,52.9,3.0,6.3,4409.778,5023.766,9433.544,0.177,55.6,0.9,2.0,45.3,11,345.936,19262.005,218.7,197.1,105.2
2006,75,1,71.147,80.817,151.964,53.2,3.0,6.5,4480.925,5104.583,9585.508,0.180,56.5,0.9,2.1,45.6,8,294.087,19556.092,186.8,197.0,100.5
2007,76,1,81.084,70.893,151.977,46.6,3.6,6.7,4562.010,5175.476,9737.486,0.183,57.5,1.0,2.4,39.2,10,176.191,19732.283,109.7,195.6,67.1
2008,75,1,78.838,73.870,152.708,48.4,3.4,6.6,4640.847,5249.346,9890.193,0.187,58.5,1.0,2.4,40.9,9,172.868,19905.151,107.7,194.2,61.8
2009,75,1,83.066,81.232,164.298,49.4,3.4,6.8,4723.913,5330.578,10054.491,0.190,59.5,1.0,2.6,,18,171.870,20077.021,99.1,190.0,42.8
